id,edited,likeCount,collectionCount,shareCount,wordCount,lfFreq,emojiCount,withImages,withVideos,imageCount,videoCount,imageTextRatio,videoTextRatio,mediaTextRatio,linksCount,utmLinksCount,authorUseNickname,authorSuspicious,authorHasCreatorBadge,authorHasOfficialCreatorBadge,postCount,timeDiffDays,postFreq,maxPostsPerDay,maxPostsPer12h,postIntervalStd,businessHourRatio,weekendRatio,travelPostRatio,forumVariety,forumEvenness,avgLikes,commentCount,totalCommentCount,subcomDepth,authorReplyCount,authorReplyLinkCount,authorReplyUTMLinkCount,firstCommentTimeDiff,first30MinCommentRatio
261406898,1,45,107,11,5860,0.030716723549488054,57,1,0,51,0,8.70307167235495,0.0,8.70307167235495,9,0,1,0,0,0,28,469.86447917,0.05959165,1,1,17.37478416,0.07142857,0.60714286,0.07142857,3.169925,0.77250692,30.32142857,5,8,0.375,3,0,0,77.39675,0.0
261410395,1,34,41,2,8669,0.045449302110970126,113,1,1,36,2,4.152728111662245,0.23070711731456917,4.383435228976814,0,0,1,0,0,0,8,795.38795139,0.01005798,1,1,68.97337462,0.5,0.25,1.0,1.0,0,150.5,7,21,0.66666667,9,0,0,316.3493,0.0
261409929,1,23,15,2,1208,0.06539735099337748,4,1,0,5,0,4.13907284768212,0.0,4.13907284768212,0,0,1,0,0,0,7,280.26412037,0.02497644,1,1,42.75624812,0.14285714,0.71428571,0.28571429,2.32192809,0.97510603,20.57142857,4,13,0.69230769,6,0,0,511.09988333,0.0
261406545,0,14,7,3,5087,0.04324749361116571,8,1,1,45,2,8.846078238647532,0.3931590328287793,9.239237271476313,1,0,1,0,0,0,22,1680.53709491,0.01309105,3,3,123.61631722,0.09090909,0.5,0.45454545,2.32192809,0.89496454,43.0,0,0,0,0,0,0,,0
261405430,0,9,2,1,137,0.058394160583941604,2,0,0,0,0,0.0,0.0,0.0,0,0,1,0,0,0,6,769.49934028,0.00779728,1,1,237.91335952,0.33333333,0.5,0.5,2.0,0.92061984,24.16666667,18,31,0.41935484,7,0,0,340.12341667,0.0
261411537,0,8,13,2,1861,0.02418054809242343,3,1,1,10,6,5.37345513164965,3.2240730789897905,8.597528210639442,0,0,1,0,0,0,17,1241.26744213,0.01369568,3,3,270.08405038,0.23529412,0.35294118,0.17647059,2.5849625,0.88872632,14.17647059,0,0,0,0,0,0,,0
261407581,0,5,6,0,1801,0.03553581343697946,0,1,0,10,0,5.55247084952804,0.0,5.55247084952804,0,0,1,0,0,0,18,1098.69267361,0.01638311,2,2,108.62138449,0.16666667,0.5,0.88888889,2.0,0.38762396,30.44444444,0,0,0,0,0,0,,0
261407084,0,6,8,2,2883,0.03399236906000694,0,1,0,12,0,4.162330905306972,0.0,4.162330905306972,0,0,1,0,0,0,22,199.85103009,0.11008199,1,1,16.33820908,0.13636364,0.27272727,1.0,1.0,0,12.72727273,1,1,0.0,0,0,0,1140.41321667,0.0
261412029,1,5,1,1,9582,0.036109371738676684,19,1,1,55,10,5.7399290336046755,1.0436234606553956,6.783552494260071,0,0,1,0,0,0,18,3015.96916667,0.00596823,1,1,267.61440366,0.5,0.16666667,0.27777778,3.32192809,0.90168641,71.77777778,2,4,0.5,2,0,0,140.42046667,0.0
261411702,1,1,0,0,52,0.07692307692307693,0,0,0,0,0,0.0,0.0,0.0,0,0,1,0,0,0,1,0.0,1,1,1,0,0.0,1.0,1.0,1.0,0,1.0,0,0,0,0,0,0,,0
261409167,0,5,1,0,3455,0.02633863965267728,0,1,0,27,0,7.814761215629523,0.0,7.814761215629523,0,0,1,0,0,0,10,1025.47427083,0.00975159,2,2,293.64180928,0.6,0.1,0.1,2.0,0.58167187,8.0,2,2,0.0,1,0,0,3445.57991667,0.0
261405483,0,4,9,1,5407,0.015350471610874793,81,1,0,2,0,0.369890882189754,0.0,0.369890882189754,21,0,1,0,0,0,3,42.08375,0.07128642,1,1,19.78497274,0.0,1.0,1.0,1.0,0,12.33333333,1,2,0.5,1,0,0,447.85446667,0.0
261408553,1,3,2,0,3642,0.029928610653487096,0,1,0,34,0,9.335529928610654,0.0,9.335529928610654,0,0,1,0,0,0,44,290.25577546,0.15159044,3,3,12.5078742,0.38636364,0.29545455,0.06818182,3.169925,0.72779088,16.31818182,0,0,0,0,0,0,,0
261409712,0,2,0,0,420,0.016666666666666666,0,1,1,5,1,11.904761904761903,2.3809523809523814,14.285714285714285,0,0,1,0,0,0,76,1456.26846065,0.05218818,2,2,69.77472375,0.10526316,0.42105263,0.09210526,3.169925,0.68291054,4.05263158,0,0,0,0,0,0,,0
261412022,0,0,0,0,110,0.07272727272727272,0,0,0,0,0,0.0,0.0,0.0,0,0,1,0,0,0,1,0.0,1,1,1,0,0.0,1.0,1.0,1.0,0,0.0,0,0,0,0,0,0,,0
261411691,1,2,3,0,4411,0.0399002493765586,34,0,0,0,0,0.0,0.0,0.0,0,0,1,0,1,0,24,1756.82168981,0.01366103,1,1,129.8961329,0.125,0.29166667,0.08333333,3.0,0.84480003,224.95833333,2,4,0.5,0,0,0,299.50615,0.0
261405941,1,0,0,0,54,0.07407407407407407,0,1,1,1,1,18.51851851851852,18.51851851851852,37.03703703703704,0,0,1,0,0,0,4,14.11847222,0.28331677,1,1,3.34735623,0.0,1.0,0.25,2.0,0.94639463,132.75,0,0,0,0,0,0,,0
261412620,0,0,0,0,310,0.04838709677419355,2,0,0,0,0,0.0,0.0,0.0,0,0,1,0,0,0,8,1004.0375,0.00796783,1,1,244.96378514,0.625,0.375,0.125,2.5849625,0.92838321,6.625,2,8,0.75,3,0,0,2183.52306667,0.0
261412400,0,0,0,0,706,0.032577903682719546,2,0,0,0,0,0.0,0.0,0.0,0,0,1,0,0,0,13,821.67893519,0.01582126,2,2,62.61431821,0.0,0.53846154,0.61538462,2.0,0.78165966,5.0,1,1,0.0,0,0,0,562.65158333,0.0
261412326,0,0,0,0,921,0.01520086862106406,0,0,0,0,0,0.0,0.0,0.0,0,0,1,0,0,0,2,0.22310185,8.96451546,2,2,0,0.0,1.0,0.5,1.5849625,1.0,0.5,0,0,0,0,0,0,,0
261411836,0,1,0,0,435,0.05057471264367816,6,0,0,0,0,0.0,0.0,0.0,0,0,1,0,0,0,8,1113.88355324,0.00718208,1,1,337.34502246,0.0,0.625,0.25,1.5849625,0.81127812,5.5,1,1,0.0,0,0,0,320.149,0.0
261411471,0,2,0,0,94,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0,1,0,0,0,3,115.91482639,0.02588107,1,1,32.57472071,0.33333333,0.66666667,1.0,1.0,0,3.33333333,0,0,0,0,0,0,,0
261411397,0,0,0,0,83,0.012048192771084338,0,0,0,0,0,0.0,0.0,0.0,0,0,1,0,0,0,31,1639.45828704,0.01890868,3,2,265.99725052,0.09677419,0.09677419,0.03225806,2.32192809,0.42925428,20.5483871,0,0,0,0,0,0,,0
261411228,0,0,0,0,466,0.04291845493562232,0,1,0,1,0,2.1459227467811157,0.0,2.1459227467811157,0,0,1,0,0,0,16,461.11758102,0.03469831,1,1,38.57758056,0.0625,0.25,0.0625,3.32192809,0.91662707,3.6875,4,5,0.2,2,0,0,430.42105,0.0
261410231,0,1,0,0,157,0.012738853503184714,0,1,0,1,0,6.369426751592357,0.0,6.369426751592357,0,0,1,0,0,0,3,1736.98866898,0.00172713,1,1,1226.47435813,0.0,1.0,0.33333333,2.0,1.0,13.0,2,2,0.0,0,0,0,126.33813333,0.0
261409119,0,1,0,0,18,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0,1,0,0,0,3,640.05936343,0.00468707,1,1,90.84835658,0.0,0.33333333,0.66666667,1.5849625,0.91829583,0.33333333,,,,,,,,
261408211,0,0,0,1,175,0.04,0,0,0,0,0,0.0,0.0,0.0,0,0,1,0,0,0,3,924.04960648,0.00324658,1,1,590.04210149,0.0,0.66666667,1.0,1.0,0,0.33333333,0,0,0,0,0,0,,0
261406235,0,0,1,0,133,0.06766917293233082,0,1,0,1,0,7.518796992481203,0.0,7.518796992481203,0,0,1,0,0,0,4,648.5403588,0.0061677,1,1,186.91557605,0.0,0.5,0.25,2.32192809,1.0,58.5,0,0,0,0,0,0,,0
261406109,0,1,0,0,797,0.04767879548306148,12,1,1,5,1,6.273525721455458,1.2547051442910915,7.52823086574655,0,0,1,0,0,0,1,0.0,1,1,1,0,0.0,1.0,1.0,1.0,0,1.0,0,0,0,0,0,0,,0
261405819,0,0,1,0,76,0.06578947368421052,0,0,0,0,0,0.0,0.0,0.0,0,0,1,0,0,0,8,1522.25811343,0.00525535,1,1,210.94743417,0.25,0.5,0.25,2.5849625,0.92838321,12.625,1,1,0.0,0,0,0,55.39818333,0.0
261405381,1,1,3,1,541,0.024029574861367836,2,1,0,5,0,9.24214417744917,0.0,9.24214417744917,0,0,1,0,0,0,1,0.0,1,1,1,0,0.0,1.0,1.0,1.0,0,1.0,1,3,0.66666667,2,0,0,880.46468333,0.0
261405288,1,16,23,3,4915,0.022787385554425228,24,1,0,9,0,1.8311291963377416,0.0,1.8311291963377416,13,0,1,0,0,0,3,293.48800926,0.01022188,1,1,140.85079212,0.0,1.0,0.33333333,2.0,1.0,25.66666667,0,0,0,0,0,0,,0
261404994,1,0,0,0,106,0.03773584905660377,1,0,0,0,0,0.0,0.0,0.0,0,0,1,0,0,0,25,1259.9675463,0.01984178,1,1,74.41595995,0.36,0.32,0.04,3.169925,0.78043843,4.68,0,0,0,0,0,0,,0
261404427,0,1,1,0,202,0.0594059405940594,0,0,0,0,0,0.0,0.0,0.0,0,0,1,0,0,0,6,2757.49728009,0.00217589,1,1,536.32317513,0.16666667,0.33333333,0.33333333,2.32192809,0.95914792,1.0,1,1,0.0,0,0,0,5608.83263333,0.0
261404187,0,20,28,7,12514,0.02069681956209046,60,1,1,77,3,6.153108518459326,0.23973150071919452,6.392840019178521,0,0,1,0,0,0,2,75.02587963,0.02665747,1,1,0,0.0,0.5,1.0,1.0,0,24.0,2,6,0.66666667,3,0,0,919.50573333,0.0
261404087,1,2,1,0,66,0.12121212121212122,1,1,0,1,0,15.151515151515152,0.0,15.151515151515152,0,0,1,0,0,0,54,846.97081019,0.06375662,3,3,57.54951673,0.27777778,0.18518519,0.05555556,3.0,0.52024225,6.38888889,,,,,,,,
261403878,1,0,0,0,92,0.10869565217391304,0,0,0,0,0,0.0,0.0,0.0,0,0,1,0,0,0,4,13.95450231,0.28664584,2,2,4.39243635,0.0,0.75,0.75,1.5849625,0.81127812,0.75,,,,,,,,
261403855,0,4,2,0,1357,0.026529108327192335,11,1,1,7,3,5.158437730287399,2.210759027266028,7.369196757553427,0,0,1,0,0,0,113,380.94346065,0.29663195,3,3,8.0145562,0.27433628,0.32743363,0.03539823,4.24792751,0.56176565,108.24778761,0,0,0,0,0,0,,0
261402741,0,2,1,1,238,0.10084033613445378,3,1,1,1,1,4.201680672268908,4.201680672268908,8.403361344537815,0,0,1,0,0,0,35,266.00483796,0.13157655,2,2,7.21196445,0.48571429,0.37142857,0.42857143,2.0,0.79069733,5.85714286,0,0,0,0,0,0,,0
